content,publish_time,like_count,comment_count,platform,brand,product,campaign,source_type,risk_label
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。希望品牌给个明确说明。我是正常偏干，朋友推荐后购买，用了1周，鼻翼和脸颊反应最明显。,2026-05-31 05:04:00,75,38,抖音,NewBrand,光感修护精华液,达人测评,用户评论,产品质量风险
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。我是正常偏干，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 16:34:00,118,11,天猫评价,NewBrand,舒缓保湿面膜,618大促,话题讨论,广告承诺争议
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。大家怎么看？我是油敏皮，旗舰店买的，用了2次，后续上妆状态变化很大。,2026-05-31 05:17:00,279,32,小红书,NewBrand,光感修护精华液,达人测评,电商评价,广告承诺争议
测评后感觉，NewBrand广告说温和修护，但我用完明显过敏，这种宣传太离谱。大家怎么看？我是痘肌，达人链接下单，连续用了3天，希望品牌补充适用人群说明。,2026-05-27 20:52:00,363,45,微博,NewBrand,屏障修护面霜,618大促,话题讨论,广告承诺争议
说实话，NewBrand广告说温和修护，但我用完明显过敏，这种宣传太离谱。我是痘肌，大促囤货，连续用了3天，客服回复会直接影响我是否复购。,2026-05-29 04:50:00,113,28,天猫评价,NewBrand,早C晚A精华套装,敏感肌种草,电商评价,售后体验不满
NewBrand这波新品包装和肤感都比以前细腻，吸收快，味道也克制。大家怎么看？我是干敏皮，朋友推荐后购买，刚上脸10分钟，和同价位竞品对比差异明显。,2026-05-27 23:53:00,30,25,B站,NewBrand,温和洁面乳,敏感肌种草,达人笔记,正向口碑
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是痘肌，达人链接下单，早晚用了4天，大促期间看到很多类似反馈。,2026-05-26 00:14:00,201,8,小红书,NewBrand,光感修护精华液,达人测评,短视频评论,价格价值争议
客服解释成分很专业，售后响应也快，这点比竞品体验好。大家怎么看？我是正常偏干，旗舰店买的，用了1周，鼻翼和脸颊反应最明显。,2026-05-25 16:30:00,37,0,B站,竞品A,温和洁面乳,新品上市,话题讨论,正向口碑
说实话，竞品C这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是正常偏干，旗舰店买的，空瓶半瓶后，希望品牌补充适用人群说明。,2026-05-29 19:00:00,12,8,京东评价,竞品C,早C晚A精华套装,新品上市,用户评论,中性观察
用了几天，连续用了一周，屏障修护面霜对换季干燥有改善，修护感很明显。还会继续观察。我是痘肌，达人链接下单，用了1周，评论区反馈分化很明显。,2026-05-26 02:13:00,25,2,微博,NewBrand,屏障修护面霜,新品上市,用户评论,正向口碑
竞品A广告说温和修护，但我用完明显过敏，这种宣传太离谱。大家怎么看？我是油敏皮，小样试用后入正装，用了1周，后续上妆状态变化很大。,2026-05-30 06:37:00,188,15,京东评价,竞品A,光感修护精华液,敏感肌种草,电商评价,价格价值争议
测评后感觉，用了早C晚A精华套装之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。还会继续观察。我是混油皮，朋友推荐后购买，刚上脸10分钟，和同价位竞品对比差异明显。,2026-05-31 11:59:00,51,6,小红书,竞品A,早C晚A精华套装,敏感肌种草,达人笔记,价格价值争议
姐妹们，连续用了一周，屏障修护面霜对换季干燥有改善，修护感很明显。还会继续观察。我是油敏皮，朋友推荐后购买，刚上脸10分钟，这个点对敏感肌很关键。,2026-05-29 23:50:00,85,13,微博,NewBrand,屏障修护面霜,618大促,用户评论,正向口碑
用了几天，保湿和提亮都比较自然，不是那种立刻假白的效果。希望品牌给个明确说明。我是痘肌，达人链接下单，用了1周，客服回复会直接影响我是否复购。,2026-05-26 16:05:00,101,4,抖音,NewBrand,舒缓保湿面膜,敏感肌种草,达人笔记,正向口碑
说实话，NewBrand这波新品包装和肤感都比以前细腻，吸收快，味道也克制。不建议盲买。我是痘肌，大促囤货，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-30 18:33:00,58,28,天猫评价,NewBrand,早C晚A精华套装,新品上市,达人笔记,正向口碑
说实话，用了舒缓保湿面膜之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。我是屏障受损肌，旗舰店买的，连续用了3天，希望品牌补充适用人群说明。,2026-05-29 08:38:00,33,16,天猫评价,NewBrand,舒缓保湿面膜,达人测评,话题讨论,售后体验不满
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。大家怎么看？我是痘肌，旗舰店买的，早晚用了4天，希望品牌补充适用人群说明。,2026-05-25 00:49:00,127,25,B站,NewBrand,舒缓保湿面膜,夏季修护专题,短视频评论,达人内容质疑
客服回复速度还行，但对过敏问题的解释比较模板化。不建议盲买。我是正常偏干，旗舰店买的，刚上脸10分钟，这个点对敏感肌很关键。,2026-05-30 02:26:00,15,8,小红书,NewBrand,早C晚A精华套装,敏感肌种草,达人笔记,中性观察
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。大家怎么看？我是正常偏干，朋友推荐后购买，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-27 22:29:00,99,5,小红书,NewBrand,光感修护精华液,618大促,达人笔记,达人内容质疑
测评后感觉，客服解释成分很专业，售后响应也快，这点比竞品体验好。我是混油皮，小样试用后入正装，用了2次，希望品牌补充适用人群说明。,2026-05-31 07:20:00,40,14,抖音,NewBrand,舒缓保湿面膜,新品上市,电商评价,正向口碑
这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是油敏皮，朋友推荐后购买，空瓶半瓶后，后续上妆状态变化很大。,2026-05-26 05:40:00,78,3,京东评价,NewBrand,屏障修护面霜,新品上市,达人笔记,正向口碑
说实话，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是干敏皮，旗舰店买的，刚上脸10分钟，希望品牌补充适用人群说明。,2026-05-30 15:00:00,74,3,小红书,NewBrand,屏障修护面霜,夏季修护专题,达人笔记,正向口碑
测评后感觉，NewBrand这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是正常偏干，大促囤货，用了1周，客服回复会直接影响我是否复购。,2026-05-26 01:38:00,11,4,抖音,NewBrand,舒缓保湿面膜,敏感肌种草,达人笔记,中性观察
姐妹们，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。大家怎么看？我是痘肌，小样试用后入正装，用了1周，客服回复会直接影响我是否复购。,2026-05-27 10:14:00,47,24,B站,NewBrand,光感修护精华液,618大促,用户评论,售后体验不满
竞品A这波新品包装和肤感都比以前细腻，吸收快，味道也克制。大家怎么看？我是痘肌，达人链接下单，用了2次，和同价位竞品对比差异明显。,2026-05-30 15:15:00,26,2,抖音,竞品A,光感修护精华液,618大促,用户评论,正向口碑
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是外油内干，朋友推荐后购买，连续用了3天，鼻翼和脸颊反应最明显。,2026-05-30 04:41:00,113,18,天猫评价,NewBrand,屏障修护面霜,达人测评,用户评论,售后体验不满
测评后感觉，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是正常偏干，旗舰店买的，连续用了3天，和同价位竞品对比差异明显。,2026-06-01 07:45:00,103,22,小红书,NewBrand,舒缓保湿面膜,夏季修护专题,短视频评论,正向口碑
姐妹们，活动价还可以，套装搭配合理，适合第一次尝试这个系列。还会继续观察。我是干敏皮，小样试用后入正装，连续用了3天，客服回复会直接影响我是否复购。,2026-05-30 08:28:00,15,5,小红书,竞品A,温和洁面乳,夏季修护专题,短视频评论,正向口碑
姐妹们，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。不建议盲买。我是屏障受损肌，小样试用后入正装，空瓶半瓶后，评论区反馈分化很明显。,2026-05-26 05:01:00,23,1,微博,NewBrand,温和洁面乳,达人测评,达人笔记,中性观察
测评后感觉，包装设计挺好看，但更关心长期使用后的稳定性。不建议盲买。我是正常偏干，大促囤货，用了1周，评论区反馈分化很明显。,2026-05-29 18:22:00,10,3,微博,NewBrand,早C晚A精华套装,夏季修护专题,达人笔记,中性观察
用了几天，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。不建议盲买。我是外油内干，朋友推荐后购买，用了1周，鼻翼和脸颊反应最明显。,2026-05-25 09:50:00,104,6,微博,竞品B,舒缓保湿面膜,达人测评,话题讨论,达人内容质疑
测评后感觉，用了屏障修护面霜之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。不建议盲买。我是痘肌，小样试用后入正装，刚上脸10分钟，客服回复会直接影响我是否复购。,2026-06-01 00:08:00,137,34,天猫评价,NewBrand,屏障修护面霜,618大促,达人笔记,广告承诺争议
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。还会继续观察。我是正常偏干，朋友推荐后购买，连续用了3天，评论区反馈分化很明显。,2026-05-29 06:46:00,59,10,天猫评价,NewBrand,舒缓保湿面膜,达人测评,电商评价,广告承诺争议
敏感肌用光感修护精华液很安心，泛红稳定下来，保湿感也不错。还会继续观察。我是油敏皮，小样试用后入正装，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-28 18:21:00,13,3,小红书,NewBrand,光感修护精华液,新品上市,电商评价,正向口碑
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。希望品牌给个明确说明。我是沙漠干皮，大促囤货，用了2次，这个点对敏感肌很关键。,2026-05-27 08:03:00,34,2,微博,竞品B,早C晚A精华套装,敏感肌种草,短视频评论,价格价值争议
测评后感觉，达人笔记全在夸，评论区却很多人说刺激，品牌是不是控评了。还会继续观察。我是油敏皮，达人链接下单，早晚用了4天，客服回复会直接影响我是否复购。,2026-05-28 02:56:00,197,31,抖音,竞品A,光感修护精华液,夏季修护专题,电商评价,售后体验不满
姐妹们，这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是干敏皮，小样试用后入正装，用了2次，后续上妆状态变化很大。,2026-05-28 22:29:00,29,10,天猫评价,NewBrand,屏障修护面霜,新品上市,短视频评论,正向口碑
竞品B这次活动力度一般，赠品多但主品价格没有太大优势。还会继续观察。我是沙漠干皮，小样试用后入正装，用了1周，和同价位竞品对比差异明显。,2026-05-25 21:43:00,140,6,天猫评价,竞品B,屏障修护面霜,夏季修护专题,用户评论,中性观察
测评后感觉，达人测评没有夸张，实际使用确实温和，油皮也能接受。还会继续观察。我是油敏皮，旗舰店买的，用了1周，评论区反馈分化很明显。,2026-05-29 01:54:00,34,14,小红书,NewBrand,屏障修护面霜,新品上市,达人笔记,正向口碑
温和洁面乳肤感还可以，但功效需要再观察，暂时没有特别惊喜。希望品牌给个明确说明。我是干敏皮，朋友推荐后购买，连续用了3天，鼻翼和脸颊反应最明显。,2026-05-27 07:27:00,56,1,小红书,NewBrand,温和洁面乳,敏感肌种草,用户评论,中性观察
用了几天，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。不建议盲买。我是油敏皮，旗舰店买的，连续用了3天，后续上妆状态变化很大。,2026-05-28 13:21:00,170,6,小红书,竞品C,光感修护精华液,敏感肌种草,电商评价,售后体验不满
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。希望品牌给个明确说明。我是干敏皮，小样试用后入正装，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-26 14:22:00,42,47,B站,NewBrand,屏障修护面霜,敏感肌种草,用户评论,价格价值争议
姐妹们，这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。不建议盲买。我是沙漠干皮，大促囤货，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-31 08:58:00,17,3,微博,NewBrand,屏障修护面霜,618大促,短视频评论,正向口碑
用了几天，包装设计挺好看，但更关心长期使用后的稳定性。还会继续观察。我是油敏皮，直播间入手，用了1周，鼻翼和脸颊反应最明显。,2026-05-24 11:14:00,6,0,B站,竞品B,光感修护精华液,达人测评,用户评论,中性观察
价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。还会继续观察。我是痘肌，朋友推荐后购买，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-29 16:09:00,42,39,京东评价,竞品C,屏障修护面霜,敏感肌种草,话题讨论,价格价值争议
说实话，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是屏障受损肌，旗舰店买的，早晚用了4天，后续上妆状态变化很大。,2026-06-01 02:18:00,80,9,京东评价,竞品C,光感修护精华液,夏季修护专题,短视频评论,价格价值争议
姐妹们，客服一直让我再观察，没有给明确处理方案，售后体验真的差。我是外油内干，小样试用后入正装，用了1周，鼻翼和脸颊反应最明显。,2026-05-29 16:11:00,101,55,微博,竞品C,早C晚A精华套装,新品上市,短视频评论,售后体验不满
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。我是沙漠干皮，达人链接下单，早晚用了4天，和同价位竞品对比差异明显。,2026-05-28 20:02:00,96,18,微博,竞品B,光感修护精华液,达人测评,短视频评论,达人内容质疑
保湿和提亮都比较自然，不是那种立刻假白的效果。不建议盲买。我是油敏皮，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 23:30:00,17,8,B站,NewBrand,舒缓保湿面膜,达人测评,短视频评论,正向口碑
用了几天，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是屏障受损肌，朋友推荐后购买，用了1周，客服回复会直接影响我是否复购。,2026-05-31 10:36:00,249,12,天猫评价,NewBrand,舒缓保湿面膜,618大促,达人笔记,达人内容质疑
竞品B这次活动力度一般，赠品多但主品价格没有太大优势。大家怎么看？我是屏障受损肌，大促囤货，用了1周，后续上妆状态变化很大。,2026-05-29 12:33:00,57,7,小红书,竞品B,舒缓保湿面膜,618大促,用户评论,中性观察
姐妹们，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是正常偏干，小样试用后入正装，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-06-01 07:58:00,87,52,B站,NewBrand,舒缓保湿面膜,夏季修护专题,达人笔记,正向口碑
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。希望品牌给个明确说明。我是正常偏干，旗舰店买的，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-28 08:07:00,240,11,B站,NewBrand,早C晚A精华套装,敏感肌种草,电商评价,售后体验不满
说实话，用了三天爆痘，停用后才慢慢好，不敢继续用了。不建议盲买。我是正常偏干，达人链接下单，用了2次，鼻翼和脸颊反应最明显。,2026-05-25 06:03:00,58,11,京东评价,竞品B,舒缓保湿面膜,618大促,电商评价,广告承诺争议
说实话，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是混油皮，旗舰店买的，连续用了3天，大促期间看到很多类似反馈。,2026-05-24 14:37:00,117,30,微博,竞品C,光感修护精华液,新品上市,达人笔记,价格价值争议
姐妹们，用了温和洁面乳之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。还会继续观察。我是混油皮，直播间入手，连续用了3天，大促期间看到很多类似反馈。,2026-05-24 17:35:00,164,10,天猫评价,NewBrand,温和洁面乳,达人测评,达人笔记,价格价值争议
测评后感觉，NewBrand这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是油敏皮，大促囤货，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-28 13:28:00,26,3,B站,NewBrand,屏障修护面霜,新品上市,短视频评论,中性观察
姐妹们，活动价还可以，套装搭配合理，适合第一次尝试这个系列。还会继续观察。我是油敏皮，直播间入手，连续用了3天，这个点对敏感肌很关键。,2026-05-31 20:34:00,32,7,天猫评价,竞品B,光感修护精华液,敏感肌种草,用户评论,正向口碑
姐妹们，包装设计挺好看，但更关心长期使用后的稳定性。希望品牌给个明确说明。我是正常偏干，直播间入手，连续用了3天，希望品牌补充适用人群说明。,2026-05-28 06:59:00,43,7,B站,NewBrand,屏障修护面霜,新品上市,短视频评论,中性观察
说实话，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。还会继续观察。我是混油皮，直播间入手，连续用了3天，希望品牌补充适用人群说明。,2026-05-25 23:49:00,22,51,天猫评价,竞品C,屏障修护面霜,新品上市,话题讨论,售后体验不满
竞品最近也在推类似概念，想看更真实的横评对比。希望品牌给个明确说明。我是沙漠干皮，旗舰店买的，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-31 18:16:00,50,2,抖音,竞品C,舒缓保湿面膜,618大促,达人笔记,中性观察
姐妹们，成分表看起来偏修护，敏感肌最好先做局部测试。不建议盲买。我是外油内干，旗舰店买的，用了1周，和同价位竞品对比差异明显。,2026-05-29 14:36:00,46,10,微博,NewBrand,光感修护精华液,敏感肌种草,话题讨论,中性观察
用了几天，用了早C晚A精华套装之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。我是油敏皮，旗舰店买的，空瓶半瓶后，后续上妆状态变化很大。,2026-05-30 05:59:00,233,25,小红书,竞品A,早C晚A精华套装,敏感肌种草,电商评价,价格价值争议
说实话，这次早C晚A精华套装真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。还会继续观察。我是混油皮，旗舰店买的，刚上脸10分钟，这个点对敏感肌很关键。,2026-05-30 06:23:00,60,9,抖音,竞品C,早C晚A精华套装,新品上市,用户评论,正向口碑
说实话，温和洁面乳肤感还可以，但功效需要再观察，暂时没有特别惊喜。还会继续观察。我是干敏皮，朋友推荐后购买，用了1周，大促期间看到很多类似反馈。,2026-05-28 11:52:00,32,3,微博,NewBrand,温和洁面乳,敏感肌种草,短视频评论,中性观察
保湿和提亮都比较自然，不是那种立刻假白的效果。我是混油皮，大促囤货，连续用了3天，后续上妆状态变化很大。,2026-05-24 15:14:00,88,3,B站,NewBrand,舒缓保湿面膜,达人测评,电商评价,正向口碑
达人笔记全在夸，评论区却很多人说刺激，品牌是不是控评了。不建议盲买。我是沙漠干皮，大促囤货，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-25 13:02:00,47,7,B站,NewBrand,屏障修护面霜,618大促,达人笔记,产品质量风险
说实话，竞品最近也在推类似概念，想看更真实的横评对比。还会继续观察。我是外油内干，直播间入手，空瓶半瓶后，后续上妆状态变化很大。,2026-05-29 21:43:00,21,9,天猫评价,NewBrand,温和洁面乳,夏季修护专题,话题讨论,中性观察
测评后感觉，客服回复速度还行，但对过敏问题的解释比较模板化。还会继续观察。我是油敏皮，旗舰店买的，早晚用了4天，后续上妆状态变化很大。,2026-05-27 11:52:00,26,1,天猫评价,竞品B,屏障修护面霜,618大促,电商评价,中性观察
姐妹们，客服回复速度还行，但对过敏问题的解释比较模板化。我是正常偏干，小样试用后入正装，连续用了3天，大促期间看到很多类似反馈。,2026-05-31 16:22:00,81,10,抖音,竞品B,早C晚A精华套装,夏季修护专题,话题讨论,中性观察
用了几天，竞品A这次活动力度一般，赠品多但主品价格没有太大优势。还会继续观察。我是油敏皮，朋友推荐后购买，刚上脸10分钟，鼻翼和脸颊反应最明显。,2026-06-01 00:07:00,2,1,B站,竞品A,舒缓保湿面膜,新品上市,话题讨论,中性观察
连续用了一周，早C晚A精华套装对换季干燥有改善，修护感很明显。还会继续观察。我是痘肌，大促囤货，用了2次，评论区反馈分化很明显。,2026-05-31 15:23:00,65,4,抖音,NewBrand,早C晚A精华套装,敏感肌种草,话题讨论,正向口碑
用了几天，这次光感修护精华液真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。大家怎么看？我是油敏皮，朋友推荐后购买，连续用了3天，大促期间看到很多类似反馈。,2026-05-31 08:51:00,62,6,抖音,NewBrand,光感修护精华液,夏季修护专题,短视频评论,正向口碑
姐妹们，竞品A这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是外油内干，大促囤货，刚上脸10分钟，后续上妆状态变化很大。,2026-05-30 06:05:00,32,15,微博,竞品A,光感修护精华液,618大促,达人笔记,中性观察
买的套装里小样快过期，包装还压坏了，活动体验很糟糕。还会继续观察。我是干敏皮，朋友推荐后购买，连续用了3天，评论区反馈分化很明显。,2026-05-29 07:28:00,98,34,抖音,NewBrand,舒缓保湿面膜,夏季修护专题,电商评价,广告承诺争议
用了几天，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。不建议盲买。我是正常偏干，小样试用后入正装，空瓶半瓶后，希望品牌补充适用人群说明。,2026-05-31 20:14:00,54,2,微博,NewBrand,光感修护精华液,夏季修护专题,达人笔记,中性观察
用了几天，活动价还可以，套装搭配合理，适合第一次尝试这个系列。还会继续观察。我是痘肌，小样试用后入正装，刚上脸10分钟，希望品牌补充适用人群说明。,2026-05-29 07:04:00,41,1,抖音,竞品B,舒缓保湿面膜,达人测评,用户评论,正向口碑
用了几天，NewBrand这波新品包装和肤感都比以前细腻，吸收快，味道也克制。我是沙漠干皮，小样试用后入正装，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-25 04:36:00,193,2,微博,NewBrand,屏障修护面霜,新品上市,用户评论,正向口碑
价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。我是沙漠干皮，大促囤货，用了2次，鼻翼和脸颊反应最明显。,2026-05-29 05:04:00,108,4,京东评价,NewBrand,舒缓保湿面膜,新品上市,话题讨论,价格价值争议
用了几天，用了光感修护精华液之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。还会继续观察。我是油敏皮，大促囤货，用了2次，这个点对敏感肌很关键。,2026-05-24 13:51:00,129,41,微博,竞品B,光感修护精华液,达人测评,短视频评论,产品质量风险
用了几天，保湿和提亮都比较自然，不是那种立刻假白的效果。我是屏障受损肌，小样试用后入正装，用了1周，评论区反馈分化很明显。,2026-05-27 07:44:00,63,6,微博,竞品C,早C晚A精华套装,夏季修护专题,达人笔记,正向口碑
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。还会继续观察。我是屏障受损肌，大促囤货，空瓶半瓶后，评论区反馈分化很明显。,2026-05-31 13:26:00,54,12,抖音,竞品B,舒缓保湿面膜,敏感肌种草,话题讨论,达人内容质疑
测评后感觉，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。我是外油内干，小样试用后入正装，用了1周，客服回复会直接影响我是否复购。,2026-05-25 18:44:00,27,11,微博,NewBrand,光感修护精华液,618大促,电商评价,中性观察
用了几天，竞品最近也在推类似概念，想看更真实的横评对比。我是油敏皮，小样试用后入正装，用了1周，评论区反馈分化很明显。,2026-05-26 14:38:00,67,5,京东评价,竞品B,早C晚A精华套装,达人测评,电商评价,中性观察
用了几天，保湿和提亮都比较自然，不是那种立刻假白的效果。还会继续观察。我是干敏皮，直播间入手，早晚用了4天，客服回复会直接影响我是否复购。,2026-05-25 13:37:00,58,1,抖音,竞品A,光感修护精华液,618大促,电商评价,正向口碑
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。大家怎么看？我是外油内干，朋友推荐后购买，用了2次，后续上妆状态变化很大。,2026-05-27 08:14:00,50,9,小红书,NewBrand,舒缓保湿面膜,618大促,话题讨论,售后体验不满
姐妹们，光感修护精华液肤感还可以，但功效需要再观察，暂时没有特别惊喜。大家怎么看？我是屏障受损肌，小样试用后入正装，刚上脸10分钟，大促期间看到很多类似反馈。,2026-05-28 00:38:00,6,5,B站,NewBrand,光感修护精华液,敏感肌种草,用户评论,中性观察
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。不建议盲买。我是混油皮，小样试用后入正装，用了1周，客服回复会直接影响我是否复购。,2026-05-31 08:23:00,235,25,微博,竞品B,温和洁面乳,达人测评,话题讨论,售后体验不满
用了几天，NewBrand广告说温和修护，但我用完明显过敏，这种宣传太离谱。不建议盲买。我是干敏皮，小样试用后入正装，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-29 22:24:00,143,15,B站,NewBrand,屏障修护面霜,新品上市,短视频评论,广告承诺争议
姐妹们，竞品最近也在推类似概念，想看更真实的横评对比。还会继续观察。我是油敏皮，小样试用后入正装，刚上脸10分钟，评论区反馈分化很明显。,2026-05-27 03:58:00,2,18,微博,竞品B,早C晚A精华套装,新品上市,电商评价,中性观察
用了几天，保湿和提亮都比较自然，不是那种立刻假白的效果。大家怎么看？我是混油皮，直播间入手，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-26 17:10:00,34,5,抖音,NewBrand,温和洁面乳,达人测评,达人笔记,正向口碑
测评后感觉，NewBrand这次活动力度一般，赠品多但主品价格没有太大优势。大家怎么看？我是沙漠干皮，直播间入手，刚上脸10分钟，评论区反馈分化很明显。,2026-05-26 09:39:00,61,7,京东评价,NewBrand,早C晚A精华套装,夏季修护专题,短视频评论,中性观察
温和洁面乳肤感还可以，但功效需要再观察，暂时没有特别惊喜。希望品牌给个明确说明。我是痘肌，朋友推荐后购买，连续用了3天，客服回复会直接影响我是否复购。,2026-05-30 16:06:00,101,9,微博,竞品B,温和洁面乳,夏季修护专题,短视频评论,中性观察
