content,publish_time,like_count,comment_count,platform,brand,product,campaign,source_type,risk_label,sentiment,sentiment_score,sentiment_confidence,topic_distribution,dominant_topic,topic_confidence
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是痘肌，达人链接下单，早晚用了4天，大促期间看到很多类似反馈。,2026-05-26 00:14:00,201,8,小红书,NewBrand,光感修护精华液,达人测评,短视频评论,价格价值争议,neutral,0.0,0.5,[0.02830766 0.02821084 0.02782872 0.6606215  0.25503128],3,0.6606214999152928
客服解释成分很专业，售后响应也快，这点比竞品体验好。大家怎么看？我是正常偏干，旗舰店买的，用了1周，鼻翼和脸颊反应最明显。,2026-05-25 16:30:00,37,0,B站,竞品A,温和洁面乳,新品上市,话题讨论,正向口碑,positive,1.5,1.0,[0.03073152 0.8767851  0.03062804 0.03090428 0.03095106],1,0.8767851008921261
说实话，竞品C这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是正常偏干，旗舰店买的，空瓶半瓶后，希望品牌补充适用人群说明。,2026-05-29 19:00:00,12,8,京东评价,竞品C,早C晚A精华套装,新品上市,用户评论,中性观察,neutral,-0.25,0.55,[0.02786246 0.02757766 0.02741734 0.02753894 0.8896036 ],4,0.8896036041028236
用了几天，连续用了一周，屏障修护面霜对换季干燥有改善，修护感很明显。还会继续观察。我是痘肌，达人链接下单，用了1周，评论区反馈分化很明显。,2026-05-26 02:13:00,25,2,微博,NewBrand,屏障修护面霜,新品上市,用户评论,正向口碑,positive,1.0,1.0,[0.02948609 0.88149041 0.02957462 0.02966522 0.02978366],1,0.8814904088813679
竞品A广告说温和修护，但我用完明显过敏，这种宣传太离谱。大家怎么看？我是油敏皮，小样试用后入正装，用了1周，后续上妆状态变化很大。,2026-05-30 06:37:00,188,15,京东评价,竞品A,光感修护精华液,敏感肌种草,电商评价,价格价值争议,neutral,-0.125,0.425,[0.02965437 0.8817632  0.02932084 0.02962885 0.02963274],1,0.8817631979396988
测评后感觉，用了早C晚A精华套装之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。还会继续观察。我是混油皮，朋友推荐后购买，刚上脸10分钟，和同价位竞品对比差异明显。,2026-05-31 11:59:00,51,6,小红书,竞品A,早C晚A精华套装,敏感肌种草,达人笔记,价格价值争议,negative,-1.0,1.0,[0.02576279 0.89771107 0.02536693 0.02543343 0.02572579],1,0.8977110665947985
姐妹们，连续用了一周，屏障修护面霜对换季干燥有改善，修护感很明显。还会继续观察。我是油敏皮，朋友推荐后购买，刚上脸10分钟，这个点对敏感肌很关键。,2026-05-29 23:50:00,85,13,微博,NewBrand,屏障修护面霜,618大促,用户评论,正向口碑,positive,1.0,1.0,[0.02747203 0.89006571 0.02731132 0.02747601 0.02767492],1,0.8900657145186575
用了几天，保湿和提亮都比较自然，不是那种立刻假白的效果。希望品牌给个明确说明。我是痘肌，达人链接下单，用了1周，客服回复会直接影响我是否复购。,2026-05-26 16:05:00,101,4,抖音,NewBrand,舒缓保湿面膜,敏感肌种草,达人笔记,正向口碑,positive,0.333,0.633,[0.89008318 0.02757494 0.02733955 0.02749903 0.0275033 ],0,0.8900831822965767
说实话，NewBrand这波新品包装和肤感都比以前细腻，吸收快，味道也克制。不建议盲买。我是痘肌，大促囤货，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-30 18:33:00,58,28,天猫评价,NewBrand,早C晚A精华套装,新品上市,达人笔记,正向口碑,positive,1.0,1.0,[0.02704307 0.02703739 0.02668547 0.02686016 0.89237391],4,0.8923739128835604
说实话，用了舒缓保湿面膜之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。我是屏障受损肌，旗舰店买的，连续用了3天，希望品牌补充适用人群说明。,2026-05-29 08:38:00,33,16,天猫评价,NewBrand,舒缓保湿面膜,达人测评,话题讨论,售后体验不满,neutral,-0.2,0.5,[0.02830679 0.88690623 0.02818717 0.02827453 0.02832528],1,0.8869062314901008
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。大家怎么看？我是痘肌，旗舰店买的，早晚用了4天，希望品牌补充适用人群说明。,2026-05-25 00:49:00,127,25,B站,NewBrand,舒缓保湿面膜,夏季修护专题,短视频评论,达人内容质疑,neutral,-0.25,0.55,[0.03037051 0.03043972 0.03017223 0.03042221 0.87859533],4,0.8785953285092802
客服回复速度还行，但对过敏问题的解释比较模板化。不建议盲买。我是正常偏干，旗舰店买的，刚上脸10分钟，这个点对敏感肌很关键。,2026-05-30 02:26:00,15,8,小红书,NewBrand,早C晚A精华套装,敏感肌种草,达人笔记,中性观察,negative,-1.0,1.0,[0.03007901 0.87982627 0.02981282 0.03007366 0.03020824],1,0.8798262717838122
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。大家怎么看？我是正常偏干，朋友推荐后购买，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-27 22:29:00,99,5,小红书,NewBrand,光感修护精华液,618大促,达人笔记,达人内容质疑,negative,-1.5,1.0,[0.02747916 0.02748148 0.02730422 0.02794822 0.88978691],4,0.8897869136324807
测评后感觉，客服解释成分很专业，售后响应也快，这点比竞品体验好。我是混油皮，小样试用后入正装，用了2次，希望品牌补充适用人群说明。,2026-05-31 07:20:00,40,14,抖音,NewBrand,舒缓保湿面膜,新品上市,电商评价,正向口碑,positive,1.25,1.0,[0.02873752 0.88557856 0.0284947  0.02865828 0.02853095],1,0.8855785572632068
这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是油敏皮，朋友推荐后购买，空瓶半瓶后，后续上妆状态变化很大。,2026-05-26 05:40:00,78,3,京东评价,NewBrand,屏障修护面霜,新品上市,达人笔记,正向口碑,positive,0.7,1.0,[0.02562838 0.0256331  0.02513545 0.89801654 0.02558653],3,0.898016540149412
说实话，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是干敏皮，旗舰店买的，刚上脸10分钟，希望品牌补充适用人群说明。,2026-05-30 15:00:00,74,3,小红书,NewBrand,屏障修护面霜,夏季修护专题,达人笔记,正向口碑,neutral,0.167,0.467,[0.88796567 0.02804592 0.02799353 0.02805308 0.0279418 ],0,0.8879656681118961
测评后感觉，NewBrand这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是正常偏干，大促囤货，用了1周，客服回复会直接影响我是否复购。,2026-05-26 01:38:00,11,4,抖音,NewBrand,舒缓保湿面膜,敏感肌种草,达人笔记,中性观察,negative,-1.5,1.0,[0.02643021 0.02625664 0.02599361 0.02616165 0.89515788],4,0.8951578807954607
姐妹们，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。大家怎么看？我是痘肌，小样试用后入正装，用了1周，客服回复会直接影响我是否复购。,2026-05-27 10:14:00,47,24,B站,NewBrand,光感修护精华液,618大促,用户评论,售后体验不满,neutral,0.0,0.5,[0.8825611  0.02940593 0.0292088  0.02940445 0.02941973],0,0.882561096085145
竞品A这波新品包装和肤感都比以前细腻，吸收快，味道也克制。大家怎么看？我是痘肌，达人链接下单，用了2次，和同价位竞品对比差异明显。,2026-05-30 15:15:00,26,2,抖音,竞品A,光感修护精华液,618大促,用户评论,正向口碑,positive,1.0,1.0,[0.03014606 0.0302182  0.03024978 0.03028729 0.87909867],4,0.8790986661703594
测评后感觉，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是外油内干，朋友推荐后购买，连续用了3天，鼻翼和脸颊反应最明显。,2026-05-30 04:41:00,113,18,天猫评价,NewBrand,屏障修护面霜,达人测评,用户评论,售后体验不满,negative,-1.5,1.0,[0.02807586 0.02820456 0.02794287 0.02831362 0.8874631 ],4,0.8874630976062962
测评后感觉，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是正常偏干，旗舰店买的，连续用了3天，和同价位竞品对比差异明显。,2026-06-01 07:45:00,103,22,小红书,NewBrand,舒缓保湿面膜,夏季修护专题,短视频评论,正向口碑,neutral,-0.25,0.55,[0.89051674 0.02737997 0.02736084 0.02730861 0.02743384],0,0.8905167406233816
姐妹们，活动价还可以，套装搭配合理，适合第一次尝试这个系列。还会继续观察。我是干敏皮，小样试用后入正装，连续用了3天，客服回复会直接影响我是否复购。,2026-05-30 08:28:00,15,5,小红书,竞品A,温和洁面乳,夏季修护专题,短视频评论,正向口碑,positive,1.0,1.0,[0.02657576 0.02648975 0.02628113 0.02639887 0.89425449],4,0.8942544941602774
姐妹们，看到很多人反馈刺痛，也有人说好用，感觉和肤质关系很大。不建议盲买。我是屏障受损肌，小样试用后入正装，空瓶半瓶后，评论区反馈分化很明显。,2026-05-26 05:01:00,23,1,微博,NewBrand,温和洁面乳,达人测评,达人笔记,中性观察,negative,-1.0,1.0,[0.89415036 0.02648413 0.02627695 0.02648181 0.02660674],0,0.8941503604262397
测评后感觉，包装设计挺好看，但更关心长期使用后的稳定性。不建议盲买。我是正常偏干，大促囤货，用了1周，评论区反馈分化很明显。,2026-05-29 18:22:00,10,3,微博,NewBrand,早C晚A精华套装,夏季修护专题,达人笔记,中性观察,neutral,0.0,0.5,[0.03008895 0.0298284  0.88002435 0.0300377  0.0300206 ],2,0.8800243498497706
用了几天，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。不建议盲买。我是外油内干，朋友推荐后购买，用了1周，鼻翼和脸颊反应最明显。,2026-05-25 09:50:00,104,6,微博,竞品B,舒缓保湿面膜,达人测评,话题讨论,达人内容质疑,neutral,0.0,0.5,[0.02799581 0.02803502 0.02793831 0.8879139  0.02811697],3,0.8879138975414895
测评后感觉，用了屏障修护面霜之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。不建议盲买。我是痘肌，小样试用后入正装，刚上脸10分钟，客服回复会直接影响我是否复购。,2026-06-01 00:08:00,137,34,天猫评价,NewBrand,屏障修护面霜,618大促,达人笔记,广告承诺争议,negative,-0.5,0.8,[0.0249505  0.90097589 0.02457814 0.02472368 0.02477178],1,0.9009758917987618
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。还会继续观察。我是正常偏干，朋友推荐后购买，连续用了3天，评论区反馈分化很明显。,2026-05-29 06:46:00,59,10,天猫评价,NewBrand,舒缓保湿面膜,达人测评,电商评价,广告承诺争议,neutral,0.0,0.5,[0.02654437 0.02659221 0.02640475 0.89359783 0.02686084],3,0.8935978343897117
敏感肌用光感修护精华液很安心，泛红稳定下来，保湿感也不错。还会继续观察。我是油敏皮，小样试用后入正装，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-28 18:21:00,13,3,小红书,NewBrand,光感修护精华液,新品上市,电商评价,正向口碑,positive,0.7,1.0,[0.02651907 0.89476826 0.0261409  0.0262157  0.02635608],1,0.8947682576298646
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。希望品牌给个明确说明。我是沙漠干皮，大促囤货，用了2次，这个点对敏感肌很关键。,2026-05-27 08:03:00,34,2,微博,竞品B,早C晚A精华套装,敏感肌种草,短视频评论,价格价值争议,negative,-1.0,1.0,[0.87552253 0.03107072 0.03100246 0.03124679 0.03115751],0,0.8755225262029761
测评后感觉，达人笔记全在夸，评论区却很多人说刺激，品牌是不是控评了。还会继续观察。我是油敏皮，达人链接下单，早晚用了4天，客服回复会直接影响我是否复购。,2026-05-28 02:56:00,197,31,抖音,竞品A,光感修护精华液,夏季修护专题,电商评价,售后体验不满,negative,-1.0,1.0,[0.02766802 0.02749761 0.02690274 0.89058914 0.02734249],3,0.8905891408809232
姐妹们，这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。希望品牌给个明确说明。我是干敏皮，小样试用后入正装，用了2次，后续上妆状态变化很大。,2026-05-28 22:29:00,29,10,天猫评价,NewBrand,屏障修护面霜,新品上市,短视频评论,正向口碑,positive,0.7,1.0,[0.02543919 0.02549297 0.02526969 0.89839049 0.02540766],3,0.8983904880273037
竞品B这次活动力度一般，赠品多但主品价格没有太大优势。还会继续观察。我是沙漠干皮，小样试用后入正装，用了1周，和同价位竞品对比差异明显。,2026-05-25 21:43:00,140,6,天猫评价,竞品B,屏障修护面霜,夏季修护专题,用户评论,中性观察,neutral,0.0,0.5,[0.02719234 0.0272044  0.02726926 0.02727836 0.89105565],4,0.89105564974507
测评后感觉，达人测评没有夸张，实际使用确实温和，油皮也能接受。还会继续观察。我是油敏皮，旗舰店买的，用了1周，评论区反馈分化很明显。,2026-05-29 01:54:00,34,14,小红书,NewBrand,屏障修护面霜,新品上市,达人笔记,正向口碑,negative,-1.5,1.0,[0.88033723 0.02988872 0.02980302 0.02989662 0.03007441],0,0.8803372335207298
温和洁面乳肤感还可以，但功效需要再观察，暂时没有特别惊喜。希望品牌给个明确说明。我是干敏皮，朋友推荐后购买，连续用了3天，鼻翼和脸颊反应最明显。,2026-05-27 07:27:00,56,1,小红书,NewBrand,温和洁面乳,敏感肌种草,用户评论,中性观察,neutral,0.167,0.467,[0.02785865 0.02807002 0.02774374 0.02813747 0.88819013],4,0.8881901266827227
用了几天，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。不建议盲买。我是油敏皮，旗舰店买的，连续用了3天，后续上妆状态变化很大。,2026-05-28 13:21:00,170,6,小红书,竞品C,光感修护精华液,敏感肌种草,电商评价,售后体验不满,neutral,0.0,0.5,[0.87169597 0.03215273 0.03184262 0.03206324 0.03224544],0,0.8716959663525862
姐妹们，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。希望品牌给个明确说明。我是干敏皮，小样试用后入正装，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-26 14:22:00,42,47,B站,NewBrand,屏障修护面霜,敏感肌种草,用户评论,价格价值争议,negative,-1.0,1.0,[0.02560358 0.02549886 0.02550432 0.89786967 0.02552357],3,0.897869669906567
姐妹们，这次屏障修护面霜真的好用，质地清爽不黏，早上上妆也不搓泥，已经准备回购。不建议盲买。我是沙漠干皮，大促囤货，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-31 08:58:00,17,3,微博,NewBrand,屏障修护面霜,618大促,短视频评论,正向口碑,positive,0.625,0.925,[0.02498553 0.02516255 0.02502055 0.89980246 0.02502891],3,0.8998024647385688
用了几天，包装设计挺好看，但更关心长期使用后的稳定性。还会继续观察。我是油敏皮，直播间入手，用了1周，鼻翼和脸颊反应最明显。,2026-05-24 11:14:00,6,0,B站,竞品B,光感修护精华液,达人测评,用户评论,中性观察,neutral,0.0,0.5,[0.03033396 0.0302987  0.8786121  0.03040407 0.03035117],2,0.8786121033281535
价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。还会继续观察。我是痘肌，朋友推荐后购买，空瓶半瓶后，和同价位竞品对比差异明显。,2026-05-29 16:09:00,42,39,京东评价,竞品C,屏障修护面霜,敏感肌种草,话题讨论,价格价值争议,neutral,0.0,0.5,[0.02719453 0.02718221 0.02719156 0.89116084 0.02727085],3,0.8911608365890221
说实话，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是屏障受损肌，旗舰店买的，早晚用了4天，后续上妆状态变化很大。,2026-06-01 02:18:00,80,9,京东评价,竞品C,光感修护精华液,夏季修护专题,短视频评论,价格价值争议,negative,-1.5,1.0,[0.02918512 0.02923268 0.02897153 0.02914986 0.88346081],4,0.8834608096668669
姐妹们，客服一直让我再观察，没有给明确处理方案，售后体验真的差。我是外油内干，小样试用后入正装，用了1周，鼻翼和脸颊反应最明显。,2026-05-29 16:11:00,101,55,微博,竞品C,早C晚A精华套装,新品上市,短视频评论,售后体验不满,positive,1.5,1.0,[0.02940168 0.02955135 0.02935315 0.88224403 0.02944979],3,0.882244031117801
用了几天，用了三天爆痘，停用后才慢慢好，不敢继续用了。我是沙漠干皮，达人链接下单，早晚用了4天，和同价位竞品对比差异明显。,2026-05-28 20:02:00,96,18,微博,竞品B,光感修护精华液,达人测评,短视频评论,达人内容质疑,neutral,0.0,0.3,[0.03130632 0.03154101 0.03126808 0.03170119 0.8741834 ],4,0.8741834027550547
保湿和提亮都比较自然，不是那种立刻假白的效果。不建议盲买。我是油敏皮，直播间入手，空瓶半瓶后，大促期间看到很多类似反馈。,2026-05-30 23:30:00,17,8,B站,NewBrand,舒缓保湿面膜,达人测评,短视频评论,正向口碑,positive,1.0,1.0,[0.89043757 0.02741286 0.02721379 0.02728694 0.02764884],0,0.8904375678694791
用了几天，价格比竞品贵一截，但效果没有宣传那么夸张，感觉被种草文骗了。大家怎么看？我是屏障受损肌，朋友推荐后购买，用了1周，客服回复会直接影响我是否复购。,2026-05-31 10:36:00,249,12,天猫评价,NewBrand,舒缓保湿面膜,618大促,达人笔记,达人内容质疑,neutral,0.0,0.5,[0.02738759 0.02716467 0.02659066 0.89176429 0.02709279],3,0.8917642852164321
竞品B这次活动力度一般，赠品多但主品价格没有太大优势。大家怎么看？我是屏障受损肌，大促囤货，用了1周，后续上妆状态变化很大。,2026-05-29 12:33:00,57,7,小红书,竞品B,舒缓保湿面膜,618大促,用户评论,中性观察,neutral,0.0,0.5,[0.02996897 0.02991054 0.02977644 0.03004428 0.88029976],4,0.8802997596574718
姐妹们，达人测评没有夸张，实际使用确实温和，油皮也能接受。希望品牌给个明确说明。我是正常偏干，小样试用后入正装，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-06-01 07:58:00,87,52,B站,NewBrand,舒缓保湿面膜,夏季修护专题,达人笔记,正向口碑,neutral,-0.25,0.55,[0.89967135 0.02508563 0.02501104 0.02509747 0.02513451],0,0.8996713513983817
质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。希望品牌给个明确说明。我是正常偏干，旗舰店买的，空瓶半瓶后，鼻翼和脸颊反应最明显。,2026-05-28 08:07:00,240,11,B站,NewBrand,早C晚A精华套装,敏感肌种草,电商评价,售后体验不满,negative,-1.0,1.0,[0.88356948 0.02884581 0.02862519 0.02998045 0.02897907],0,0.8835694761274108
说实话，用了三天爆痘，停用后才慢慢好，不敢继续用了。不建议盲买。我是正常偏干，达人链接下单，用了2次，鼻翼和脸颊反应最明显。,2026-05-25 06:03:00,58,11,京东评价,竞品B,舒缓保湿面膜,618大促,电商评价,广告承诺争议,neutral,0.0,0.3,[0.03090854 0.03094852 0.03075648 0.03120063 0.87618583],4,0.8761858325794318
说实话，买的套装里小样快过期，包装还压坏了，活动体验很糟糕。不建议盲买。我是混油皮，旗舰店买的，连续用了3天，大促期间看到很多类似反馈。,2026-05-24 14:37:00,117,30,微博,竞品C,光感修护精华液,新品上市,达人笔记,价格价值争议,negative,-1.5,1.0,[0.02878045 0.02854723 0.02834674 0.02854893 0.88577665],4,0.8857766481793184
姐妹们，用了温和洁面乳之后脸颊刺痛泛红，严重辣脸，第二天还起了小疹子。还会继续观察。我是混油皮，直播间入手，连续用了3天，大促期间看到很多类似反馈。,2026-05-24 17:35:00,164,10,天猫评价,NewBrand,温和洁面乳,达人测评,达人笔记,价格价值争议,negative,-0.5,0.8,[0.02697957 0.89271895 0.02656755 0.02665193 0.027082  ],1,0.8927189481980112
测评后感觉，NewBrand这次活动力度一般，赠品多但主品价格没有太大优势。希望品牌给个明确说明。我是油敏皮，大促囤货，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-28 13:28:00,26,3,B站,NewBrand,屏障修护面霜,新品上市,短视频评论,中性观察,negative,-1.5,1.0,[0.02576806 0.02560844 0.02529732 0.0255242  0.89780198],4,0.8978019806333277
姐妹们，活动价还可以，套装搭配合理，适合第一次尝试这个系列。还会继续观察。我是油敏皮，直播间入手，连续用了3天，这个点对敏感肌很关键。,2026-05-31 20:34:00,32,7,天猫评价,竞品B,光感修护精华液,敏感肌种草,用户评论,正向口碑,positive,1.0,1.0,[0.03031437 0.02994785 0.02986313 0.02981049 0.88006416],4,0.8800641637553924
姐妹们，包装设计挺好看，但更关心长期使用后的稳定性。希望品牌给个明确说明。我是正常偏干，直播间入手，连续用了3天，希望品牌补充适用人群说明。,2026-05-28 06:59:00,43,7,B站,NewBrand,屏障修护面霜,新品上市,短视频评论,中性观察,positive,1.0,1.0,[0.02890103 0.02890007 0.88471889 0.02871183 0.02876817],2,0.8847188942689461
说实话，质地看着高级，上脸却搓泥，后续上妆完全不服帖，踩雷。还会继续观察。我是混油皮，直播间入手，连续用了3天，希望品牌补充适用人群说明。,2026-05-25 23:49:00,22,51,天猫评价,竞品C,屏障修护面霜,新品上市,话题讨论,售后体验不满,negative,-1.0,1.0,[0.8845546  0.0289578  0.02873904 0.02884969 0.02889887],0,0.8845545953736702
竞品最近也在推类似概念，想看更真实的横评对比。希望品牌给个明确说明。我是沙漠干皮，旗舰店买的，空瓶半瓶后，客服回复会直接影响我是否复购。,2026-05-31 18:16:00,50,2,抖音,竞品C,舒缓保湿面膜,618大促,达人笔记,中性观察,positive,1.0,1.0,[0.47484974 0.02836284 0.4398298  0.02867117 0.02828644],0,0.47484973925086577
姐妹们，成分表看起来偏修护，敏感肌最好先做局部测试。不建议盲买。我是外油内干，旗舰店买的，用了1周，和同价位竞品对比差异明显。,2026-05-29 14:36:00,46,10,微博,NewBrand,光感修护精华液,敏感肌种草,话题讨论,中性观察,positive,1.0,1.0,[0.03129439 0.0314002  0.87453466 0.03132591 0.03144484],2,0.8745346621504949
